time	ret	ldp	lep	rf	yield
1984.00	-0.0537396436	-3.1147068515	-2.5771401502	0.0950010411	0.0271667999
1984.25	-0.0521088986	-3.0587955910	-2.5234178615	0.0968907482	0.0376163645
1984.50	0.0640388247	-3.1260915299	-2.5893444526	0.0991573155	0.0199654312
1984.75	-0.0140137330	-3.1078336984	-2.5807652938	0.0772480370	0.0412568523
1985.00	0.0731246680	-3.1728018827	-2.6423978970	0.0802796027	0.0405129479
1985.25	0.0471486438	-3.2183333997	-2.6877341304	0.0674156283	0.0396152384
1985.50	-0.0640455572	-3.1533116707	-2.6212602486	0.0698525019	0.0366964866
1985.75	0.1332618111	-3.2728138497	-2.7575191975	0.0695540473	0.0393913886
1986.00	0.1119055457	-3.3679654316	-2.8695109164	0.0627118538	0.0253460370
1986.25	0.0347623399	-3.3518105042	-2.9082592214	0.0592212847	0.0301862326
1986.50	-0.0851479066	-3.2677817243	-2.8176128587	0.0516242396	0.0353212637
1986.75	0.0291395187	-3.2710515689	-2.8552183577	0.0562007332	0.0316220409
1987.00	0.1727473588	-3.4455865613	-3.0323386491	0.0556144448	0.0295767057
1987.25	0.0219021043	-3.4800920640	-3.0665536484	0.0567866781	0.0410144908
1987.50	0.0455734482	-3.4878638320	-3.1144984540	0.0653100984	0.0339704069
1987.75	-0.2773033389	-3.2042567935	-2.8386890906	0.0562858110	0.0601031204
1988.00	0.0548603010	-3.2126779815	-2.8722018620	0.0565788015	0.0339929719
1988.25	0.0470627069	-3.2602098281	-2.9094371798	0.0648228557	0.0306863264
1988.50	-0.0147614740	-3.2238782695	-2.8850642539	0.0714644812	0.0251730594
1988.75	0.0077409620	-3.1727660481	-2.8875653151	0.0796056891	0.0273769185
1989.00	0.0469917338	-3.2224446983	-2.9288215810	0.0872321859	0.0093790005
1989.25	0.0580856544	-3.2552841441	-2.9866067945	0.0785616114	0.0077845751
1989.50	0.0751793307	-3.3164263715	-3.0661018825	0.0777940274	0.0115887699
1989.75	-0.0091563135	-3.3489229751	-3.0659234130	0.0743929315	0.0241360892
1990.00	-0.0531188141	-3.3027011944	-3.0174556123	0.0767387942	0.0126146615
1990.25	0.0301682883	-3.3257988216	-3.0598202696	0.0761644276	0.0149287469
1990.50	-0.1661571454	-3.2003620469	-2.8924634719	0.0704025441	0.0234659556
1990.75	0.0587676451	-3.2481518841	-2.9589131925	0.0636318602	0.0335980356
1991.00	0.1193646163	-3.3682764673	-3.0775288236	0.0568717061	0.0283329863
1991.25	-0.0163224995	-3.3801786819	-3.0603929417	0.0549236965	0.0357379309
1991.50	0.0396776753	-3.4114638903	-3.1007462179	0.0507216310	0.0339079015
1991.75	0.0622082758	-3.4876298007	-3.1725307377	0.0384800543	0.0433314496
1992.00	-0.0284384900	-3.4748055831	-3.1378893880	0.0403546853	0.0408700652
1992.25	0.0003041806	-3.4785058197	-3.1447488206	0.0356180776	0.0444689835
1992.50	0.0191302367	-3.4968480051	-3.1617913792	0.0269047980	0.0496754707
1992.75	0.0476098242	-3.5538042609	-3.1946933034	0.0307716587	0.0479551730
1993.00	0.0381474468	-3.5757256909	-3.2203325943	0.0288886748	0.0448367511
1993.25	-0.0009868870	-3.5668487923	-3.2085086902	0.0302769909	0.0425101947
1993.50	0.0232802148	-3.5849018260	-3.2172673965	0.0291800898	0.0370359648
1993.75	0.0118345875	-3.5960943016	-3.2229036491	0.0300732330	0.0379892637
1994.00	-0.0475983327	-3.5563866391	-3.1675832315	0.0347298752	0.0387771941
1994.25	-0.0113879556	-3.5420060583	-3.1522961839	0.0413338635	0.0420499409
1994.50	0.0373159125	-3.5812253493	-3.1788451698	0.0464254657	0.0361734869
1994.75	-0.0232047645	-3.5460845102	-3.1534711544	0.0548290363	0.0349480910
1995.00	0.0707827943	-3.6030506518	-3.2194701577	0.0564748469	0.0219369789
1995.25	0.0648105619	-3.6564157815	-3.2805364352	0.0539482668	0.0185683474
1995.50	0.0653004966	-3.6817395197	-3.3267591553	0.0520040417	0.0184604423
1995.75	0.0387207910	-3.7088142739	-3.3564999974	0.0492662413	0.0211737222
1996.00	0.0441475407	-3.7441302906	-3.3809164435	0.0496564555	0.0202882599
1996.25	0.0234287881	-3.7659747774	-3.3963703170	0.0500465175	0.0272264579
1996.50	0.0130604719	-3.7829126277	-3.3976717189	0.0487711164	0.0251225304
